Time[s], Channel 0, Channel 1, Channel 2, MIC DATA, LRCLK, buzzer, LED, Channel 7
0.000000000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.144289375000000, 1, 1, 1, 1, 1, 1, 0, 1
0.146287812500000, 1, 1, 1, 1, 1, 1, 1, 1
0.162197437500000, 1, 1, 1, 1, 1, 1, 0, 1
0.164214687500000, 1, 1, 1, 1, 1, 1, 1, 1
0.166184000000000, 1, 1, 1, 1, 1, 1, 0, 1
0.170170937500000, 1, 1, 1, 1, 1, 1, 1, 1
0.182106687500000, 1, 1, 1, 1, 1, 1, 0, 1
0.186100812500000, 1, 1, 1, 1, 1, 1, 1, 1
0.188074812500000, 1, 1, 1, 1, 1, 1, 0, 1
0.190074375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.205983625000000, 1, 1, 1, 1, 1, 1, 0, 1
0.207993625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.209967375000000, 1, 1, 1, 1, 1, 1, 0, 1
0.213956625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.217929625000000, 1, 1, 1, 1, 1, 1, 0, 1
0.219928687500000, 1, 1, 1, 1, 1, 1, 1, 1
0.221909875000000, 1, 1, 1, 1, 1, 1, 0, 1
0.223907937500000, 1, 1, 1, 1, 1, 1, 1, 1
0.225892125000000, 1, 1, 1, 1, 1, 1, 0, 1
0.229886312500000, 1, 1, 1, 1, 1, 1, 1, 1
0.231863375000000, 1, 1, 1, 1, 1, 1, 0, 1
0.235850062500000, 1, 1, 1, 1, 1, 1, 1, 1
0.237832187500000, 1, 1, 1, 1, 1, 1, 0, 1
0.239830375000000, 1, 1, 1, 1, 1, 1, 1, 1
0.241812500000000, 1, 1, 1, 1, 1, 1, 0, 1
0.243810250000000, 1, 1, 1, 1, 1, 1, 1, 1
0.247784625000000, 1, 1, 1, 1, 1, 1, 0, 1
0.251779500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.253752625000000, 1, 1, 1, 1, 1, 1, 0, 1
0.255752437500000, 1, 1, 1, 1, 1, 1, 1, 1
0.265695500000000, 1, 1, 1, 1, 1, 1, 0, 1
0.267694000000000, 1, 1, 1, 1, 1, 1, 1, 1
0.269686937500000, 1, 1, 1, 1, 1, 1, 0, 1
0.273672687500000, 1, 1, 1, 1, 1, 1, 1, 1
0.275654187500000, 1, 1, 1, 1, 1, 1, 0, 1
0.279635125000000, 1, 1, 1, 1, 1, 1, 1, 1
0.297538187500000, 1, 1, 1, 1, 1, 1, 0, 1
0.299537875000000, 1, 1, 1, 1, 1, 1, 1, 1
0.309481437500000, 1, 1, 1, 1, 1, 1, 0, 1
0.311479187500000, 1, 1, 1, 1, 1, 1, 1, 1
0.598066625000000, 1, 1, 1, 1, 1, 1, 0, 1
0.600066625000000, 1, 1, 1, 1, 1, 1, 1, 1
0.615976937500000, 1, 1, 1, 1, 1, 1, 0, 1
0.617986500000000, 1, 1, 1, 1, 1, 1, 1, 1
0.619959750000000, 1, 1, 1, 1, 1, 1, 0, 1
0.621959812500000, 1, 1, 1, 1, 1, 1, 1, 1
0.631902625000000, 1, 1, 1, 1, 1, 1, 0, 1
0.633900375000000, 1, 1, 1, 1, 1, 1, 1, 1
